"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2023","4,090.00","3,895.00","4,109.25","3,814.50","34.03M","5.93%"
"12/01/2022","3,861.00","4,094.50","4,145.00","3,788.50","29.13M","-5.40%"
"11/01/2022","4,081.25","3,884.00","4,093.50","3,704.25","36.19M","5.11%"
"10/01/2022","3,883.00","3,593.25","3,924.25","3,502.00","48.07M","7.82%"
"09/01/2022","3,601.50","3,958.00","4,158.00","3,595.25","44.23M","-8.97%"
"08/01/2022","3,956.50","4,137.50","4,327.50","3,953.00","38.47M","-4.28%"
"07/01/2022","4,133.50","3,782.00","4,144.00","3,723.75","34.09M","9.08%"
"06/01/2022","3,789.50","4,138.50","4,189.00","3,639.00","32.60M","-8.27%"
"05/01/2022","4,131.25","4,144.00","4,303.00","3,807.50","42.40M","0.09%"
"04/01/2022","4,127.50","4,541.00","4,588.75","4,118.75","32.23M","-8.90%"
"03/01/2022","4,530.75","4,367.50","4,631.00","4,138.00","31.76M","3.73%"
"02/01/2022","4,368.00","4,493.25","4,586.00","4,101.75","36.31M","-3.02%"
"01/01/2022","4,504.25","4,771.00","4,808.25","4,212.75","41.90M","-5.34%"
"12/01/2021","4,758.50","4,587.50","4,799.75","4,492.00","30.48M","4.21%"
"11/01/2021","4,566.25","4,608.00","4,740.50","4,557.00","29.33M","-0.67%"
"10/01/2021","4,597.00","4,301.00","4,603.50","4,260.00","29.00M","6.96%"
"09/01/2021","4,297.75","4,527.75","4,549.50","4,293.75","29.63M","-4.93%"
"08/01/2021","4,520.50","4,396.50","4,542.25","4,347.75","24.92M","2.98%"
"07/01/2021","4,389.50","4,294.25","4,422.50","4,224.00","28.65M","2.36%"
"06/01/2021","4,288.50","4,206.50","4,294.25","4,126.75","21.66M","2.05%"
"05/01/2021","4,202.50","4,181.50","4,238.25","4,029.25","32.43M","0.67%"
"04/01/2021","4,174.50","3,967.50","4,211.00","3,964.50","28.50M","5.22%"
"03/01/2021","3,967.50","3,817.25","3,988.75","3,720.50","38.32M","4.15%"
"02/01/2021","3,809.25","3,692.25","3,959.25","3,656.50","29.84M","2.81%"
"01/01/2021","3,705.25","3,748.75","3,862.25","3,652.50","30.18M","-1.16%"
"12/01/2020","3,748.75","3,631.00","3,753.00","3,596.00","22.99M","3.46%"
"11/01/2020","3,623.25","3,260.00","3,668.00","3,243.25","30.99M","10.98%"
"10/01/2020","3,264.75","3,344.75","3,541.00","3,225.00","35.98M","-2.60%"
"09/01/2020","3,352.00","3,493.25","3,587.00","3,198.00","36.20M","-4.20%"
"08/01/2020","3,499.00","3,272.00","3,524.50","3,254.75","26.70M","7.22%"
"07/01/2020","3,263.50","3,085.25","3,284.50","3,062.75","35.56M","5.61%"
"06/01/2020","3,090.25","3,029.75","3,231.25","2,935.00","37.47M","1.59%"
"05/01/2020","3,042.00","2,871.50","3,065.50","2,760.25","35.17M","4.81%"
"04/01/2020","2,902.50","2,562.00","2,965.00","2,424.75","38.09M","12.95%"
"03/01/2020","2,569.75","2,900.00","3,137.00","2,174.00","56.20M","-12.92%"
"02/01/2020","2,951.00","3,222.75","3,397.50","2,853.25","45.67M","-8.47%"
"01/01/2020","3,224.00","3,237.00","3,337.50","3,181.00","36.94M","-0.22%"
