Date,Open,High,Low,Close,Adj Close,Volume
1993-03-01,3.648438,3.789063,3.476563,3.593750,2.057859,2026496000
1993-04-01,3.589844,3.781250,2.671875,2.972656,1.702207,3788163200
1993-05-01,2.992188,3.546875,2.976563,3.464844,1.986186,1689148800
1993-06-01,3.468750,3.781250,3.304688,3.437500,1.970513,1431424000
1993-07-01,3.437500,3.562500,3.078125,3.265625,1.871987,1232262400
1993-08-01,3.265625,4.203125,3.265625,4.015625,2.304142,1492656000
1993-09-01,3.984375,4.640625,3.765625,4.421875,2.537246,1282339200
1993-10-01,4.468750,4.617188,3.843750,3.953125,2.268280,2020817600
1993-11-01,3.953125,4.031250,3.515625,3.843750,2.207258,1562139200
1993-12-01,3.859375,4.046875,3.515625,3.875000,2.225204,1491811200
1994-01-01,3.890625,4.328125,3.796875,4.078125,2.341849,1974097600
1994-02-01,4.062500,4.328125,3.781250,4.296875,2.469360,1389000000
1994-03-01,4.304688,4.593750,4.062500,4.218750,2.424463,1662636800
1994-04-01,4.093750,4.437500,3.500000,3.812500,2.190997,1856948800
1994-05-01,3.796875,3.921875,3.531250,3.906250,2.246734,1274883200
1994-06-01,3.906250,4.062500,3.578125,3.656250,2.102943,1182070400
1994-07-01,3.679688,3.937500,3.507813,3.703125,2.129903,1286740800
1994-08-01,3.687500,4.218750,3.539063,4.109375,2.366019,1555363200
1994-09-01,4.046875,4.265625,3.750000,3.843750,2.213083,1301622400
1994-10-01,3.859375,3.937500,3.585938,3.882813,2.235573,1679555200
1994-11-01,3.867188,4.204102,3.734375,3.945313,2.273874,1661600000
1994-12-01,3.875000,4.109375,3.593750,3.992188,2.300890,2126796800
1995-01-01,3.976563,4.484375,3.937500,4.335938,2.499011,1992945600
1995-02-01,4.335938,5.046875,4.320313,4.984375,2.875168,1553358400
1995-03-01,4.984375,5.625000,4.898438,5.304688,3.059938,1952177600
1995-04-01,5.296875,6.507813,5.281250,6.398438,3.690853,2062513600
1995-05-01,6.468750,7.437500,6.429688,7.015625,4.049386,2722372800
1995-06-01,7.031250,8.296875,6.843750,7.914063,4.567961,1989096000
1995-07-01,7.921875,9.796875,7.812500,8.125000,4.689712,2233384000
1995-08-01,8.125000,8.406250,7.140625,7.671875,4.430748,1973017600
1995-09-01,7.656250,8.328125,7.156250,7.515625,4.340512,1444776800
1995-10-01,7.576172,8.921875,7.218750,8.734375,5.044375,1745368800
1995-11-01,8.843750,9.142578,7.484375,7.609375,4.397243,1635819200
1995-12-01,7.671875,8.000000,6.898438,7.093750,4.099281,1242437600
1996-01-01,7.171875,7.421875,6.226563,6.904297,3.989800,2392518400
1996-02-01,6.875000,7.703125,6.857422,7.351563,4.251385,1135956000
1996-03-01,7.203125,7.531250,6.437500,7.109375,4.111331,1386664000
1996-04-01,7.140625,8.796875,7.046875,8.468750,4.897452,1652880000
1996-05-01,8.421875,9.453125,8.312500,9.437500,5.460832,1272625600
1996-06-01,9.390625,9.718750,8.781250,9.179688,5.311655,1112619200
1996-07-01,9.218750,9.486328,8.015625,9.390625,5.433707,1964907200
1996-08-01,9.421875,10.406250,9.359375,9.976563,5.776711,1239524800
1996-09-01,9.890625,12.437500,9.812500,11.929688,6.907628,1289012000
1996-10-01,11.828125,14.281250,11.781250,13.734375,7.952591,1783640000
1996-11-01,13.734375,15.906250,13.500000,15.859375,9.187430,1672116800
1996-12-01,15.750000,17.687500,15.421875,16.367188,9.481609,1807088800
1997-01-01,16.468750,20.500000,15.953125,20.281250,11.749053,2230825600
1997-02-01,20.437500,20.625000,17.125000,17.734375,10.277031,2158319200
1997-03-01,17.640625,18.781250,15.718750,17.390625,10.077830,2181638400
1997-04-01,17.203125,19.187500,16.031250,19.140625,11.091953,2472320800
1997-05-01,19.171875,21.218750,17.500000,18.937500,10.977994,2384592800
1997-06-01,19.250000,19.328125,17.593750,17.726563,10.276015,2101756800
1997-07-01,17.750000,23.031250,17.328125,22.953125,13.305834,1892300800
1997-08-01,23.187500,25.500000,22.468750,23.031250,13.355665,1411278800
1997-09-01,23.281250,24.812500,23.000000,23.078125,13.382852,1034391600
1997-10-01,23.187500,23.906250,17.312500,19.250000,11.162942,1986799200
1997-11-01,19.609375,20.437500,18.003906,19.406250,11.257528,1272398000
1997-12-01,19.625000,20.437500,16.843750,17.562500,10.187966,1414142800
1998-01-01,17.671875,20.718750,17.625000,20.250000,11.746985,1358238800
1998-02-01,20.625000,23.906250,20.546875,22.421875,13.011816,1333076000
1998-03-01,22.453125,22.843750,18.500000,19.515625,11.325267,1701521600
1998-04-01,19.375000,21.265625,17.828125,20.203125,11.724233,1546118800
1998-05-01,20.234375,21.359375,17.812500,17.859375,10.368032,1087710800
1998-06-01,17.281250,19.406250,16.414063,18.531250,10.758081,1440325200
1998-07-01,18.671875,22.062500,18.062500,21.109375,12.254774,1585564800
1998-08-01,20.906250,23.156250,17.734375,17.796875,10.331753,1761071600
1998-09-01,17.734375,22.250000,17.437500,21.437500,12.449830,1476413200
1998-10-01,21.062500,22.703125,18.953125,22.296875,12.948911,1574883200
1998-11-01,22.437500,28.968750,22.390625,26.906250,15.625810,1293696800
1998-12-01,26.453125,31.546875,26.421875,29.640625,17.221409,1208676800
1999-01-01,29.984375,35.921875,29.921875,35.234375,20.471409,1393780000
1999-02-01,35.171875,35.171875,29.718750,29.984375,17.421133,1444981200
1999-03-01,29.703125,31.093750,27.390625,29.718750,17.274498,1706606800
1999-04-01,29.984375,33.375000,27.500000,30.593750,17.783108,1092352800
1999-05-01,30.593750,32.500000,25.500000,27.031250,15.712353,781813800
1999-06-01,26.906250,29.937500,25.062500,29.750000,17.301081,919890600
1999-07-01,29.875000,35.875000,29.625000,34.500000,20.063431,1011415000
1999-08-01,34.937500,42.250000,34.750000,41.093750,23.898024,1095635000
1999-09-01,41.843750,44.750000,36.312500,37.156250,21.617062,1051548200
1999-10-01,37.125000,39.906250,32.500000,38.718750,22.526108,1205532800
1999-11-01,38.812500,41.937500,36.812500,38.343750,22.307938,854509600
1999-12-01,38.031250,42.750000,35.281250,41.156250,23.953487,841517800
2000-01-01,41.632813,53.312500,38.687500,49.468750,28.791483,1406932200
2000-02-01,49.187500,58.250000,48.312500,56.500000,32.883762,965312200
2000-03-01,56.437500,72.687500,56.000000,65.968750,38.406212,1131350200
2000-04-01,65.687500,69.531250,54.187500,63.406250,36.914352,1209578800
2000-05-01,63.968750,65.500000,52.562500,62.343750,36.295773,1145907800
2000-06-01,63.093750,70.125000,62.062500,66.843750,38.925262,851667400
2000-07-01,67.062500,73.750000,64.375000,66.750000,38.870663,829139100
2000-08-01,67.062500,75.828125,60.437500,74.875000,43.602142,688110000
2000-09-01,75.625000,75.687500,41.375000,41.562500,24.210829,1467990100
2000-10-01,42.937500,47.000000,35.000000,45.000000,26.213217,1423595100
2000-11-01,44.312500,47.875000,36.000000,38.062500,22.172010,998090900
2000-12-01,38.500000,38.500000,29.812500,30.062500,17.519394,1120692200
2001-01-01,30.687500,38.593750,30.000000,37.000000,21.562334,1211434900
2001-02-01,37.062500,38.234375,28.000000,28.562500,16.645243,909408600
2001-03-01,28.250000,33.687500,24.562500,26.312500,15.342625,1421494900
2001-04-01,26.062500,32.570000,22.250000,30.910000,18.023396,1232602500
2001-05-01,30.770000,32.500000,26.400000,27.010000,15.749327,966714700
2001-06-01,27.260000,31.930000,26.139999,29.250000,17.066137,1008249200
2001-07-01,29.580000,31.000000,27.000000,29.809999,17.392879,965577600
2001-08-01,30.620001,32.230000,26.879999,27.959999,16.313480,951559900
2001-09-01,27.559999,28.090000,18.959999,20.440001,11.933311,1066764600
2001-10-01,20.209999,26.500000,19.080000,24.420000,14.256925,1237428800
2001-11-01,24.530001,32.990002,24.250000,32.660000,19.067612,1113379500
2001-12-01,32.290001,34.849998,31.410000,31.450001,18.375160,851932500
2002-01-01,31.900000,36.779999,31.559999,35.040001,20.472670,1104847100
2002-02-01,34.820000,35.070000,28.500000,28.549999,16.680786,958632000
2002-03-01,29.090000,34.250000,28.990000,30.410000,17.777990,923979300
2002-04-01,30.139999,31.450001,27.510000,28.610001,16.725683,977552800
2002-05-01,28.570000,31.360001,25.559999,27.620001,16.146929,976795600
2002-06-01,27.430000,28.200001,17.450001,18.270000,10.688491,1334010600
2002-07-01,18.350000,19.879999,16.260000,18.790001,10.992711,1507029200
2002-08-01,18.719999,19.670000,15.820000,16.670000,9.752444,1182004600
2002-09-01,16.469999,17.040001,13.670000,13.890000,8.135803,1253168200
2002-10-01,14.050000,17.510000,12.950000,17.299999,10.133142,1881026700
2002-11-01,17.100000,21.299999,16.910000,20.879999,12.230055,1250526600
2002-12-01,21.879999,22.090000,15.420000,15.570000,9.129552,1176184400
2003-01-01,16.020000,18.010000,15.140000,15.660000,9.182329,1296861600
2003-02-01,15.650000,17.290001,14.880000,17.250000,10.114631,972981900
2003-03-01,17.129999,19.010000,15.590000,16.280001,9.558095,1292712700
2003-04-01,16.379999,19.559999,16.280001,18.400000,10.802753,1222054300
2003-05-01,18.370001,21.010000,18.299999,20.820000,12.223550,1286127600
2003-06-01,21.000000,22.920000,19.990000,20.809999,12.230543,1356186800
2003-07-01,20.870001,25.500000,20.510000,24.889999,14.628448,1431224400
2003-08-01,24.780001,29.040001,23.330000,28.590000,16.803024,1148633000
2003-09-01,28.770000,29.379999,27.219999,27.520000,16.187046,1165832900
2003-10-01,27.820000,33.279999,27.809999,32.950001,19.380932,1220535000
2003-11-01,33.330002,34.509998,31.660000,33.540001,19.727970,904543000
2003-12-01,33.820000,34.400002,29.660000,32.049999,18.862759,1082622400
2004-01-01,32.360001,34.599998,30.350000,30.520000,17.962290,1125545500
2004-02-01,30.900000,31.430000,28.650000,29.200001,17.185419,1096668000
2004-03-01,29.040001,30.139999,26.030001,27.200001,16.028757,1699989600
2004-04-01,27.370001,28.559999,25.719999,25.730000,15.162487,1377614900
2004-05-01,26.049999,28.980000,25.610001,28.549999,16.824286,1195945600
2004-06-01,28.370001,29.010000,27.129999,27.600000,16.289263,1025083900
2004-07-01,27.389999,27.480000,22.459999,24.379999,14.388844,1685420600
2004-08-01,24.040001,24.990000,20.860001,21.290001,12.565159,1268945500
2004-09-01,21.100000,21.719999,19.639999,20.059999,11.858848,1564929800
2004-10-01,20.299999,22.610001,20.219999,22.260000,13.159423,1523801700
2004-11-01,22.190001,24.990000,22.150000,22.379999,13.230363,1424847200
2004-12-01,22.500000,24.500000,22.440001,23.389999,13.851948,1490134800
2005-01-01,23.639999,23.790001,21.889999,22.450001,13.295263,1589091300
2005-02-01,22.490000,24.629999,22.170000,23.990000,14.207281,1420647100
2005-03-01,24.360001,25.469999,22.959999,23.230000,13.806106,1362583000
2005-04-01,23.340000,23.900000,21.940001,23.520000,13.978461,1365595400
2005-05-01,23.500000,27.400000,23.350000,26.959999,16.022932,1293616200
2005-06-01,26.799999,27.750000,25.730000,26.020000,15.516365,1169082600
2005-07-01,26.230000,28.840000,26.080000,27.139999,16.184238,1067827200
2005-08-01,27.240000,27.660000,25.309999,25.719999,15.337457,994634900
2005-09-01,25.580000,26.120001,23.799999,24.650000,14.742178,1085852500
2005-10-01,24.740000,24.959999,22.750000,23.500000,14.054411,1165374500
2005-11-01,23.180000,27.150000,22.530001,26.680000,15.956241,1130819800
2005-12-01,26.940001,27.490000,24.870001,24.959999,14.978866,1104580800
2006-01-01,25.190001,26.629999,21.100000,21.260000,12.758432,1852525400
2006-02-01,21.240000,21.680000,19.879999,20.600000,12.362356,1590202000
2006-03-01,20.730000,21.000000,19.309999,19.459999,11.733579,1935500400
2006-04-01,19.680000,20.270000,18.600000,19.980000,12.047114,1498496500
2006-05-01,20.059999,20.219999,17.740000,18.020000,10.865317,1676106300
2006-06-01,18.049999,19.360001,16.750000,19.000000,11.514995,1609055300
2006-07-01,19.270000,19.389999,16.840000,18.000000,10.908944,1271383700
2006-08-01,17.889999,20.000000,17.219999,19.570000,11.860446,1287884000
2006-09-01,19.900000,20.950001,19.030001,20.570000,12.537775,1396655300
2006-10-01,20.559999,22.030001,20.170000,21.340000,13.007103,1587909000
2006-11-01,21.370001,22.500000,20.320000,21.400000,13.043672,1182225800
2006-12-01,21.320000,21.450001,20.030001,20.250000,12.402701,909179000
2007-01-01,20.450001,22.299999,20.139999,20.959999,12.837563,1614851100
2007-02-01,20.980000,21.670000,19.799999,19.860001,12.163839,1175995900
2007-03-01,19.520000,19.799999,18.750000,19.129999,11.779431,1380681800
2007-04-01,19.150000,22.299999,19.030001,21.500000,13.238771,1477884000
2007-05-01,21.559999,23.139999,21.450001,22.180000,13.657488,1282004400
2007-06-01,22.340000,24.450001,21.290001,23.740000,14.693777,1332613900
2007-07-01,23.879999,26.520000,23.530001,23.620001,14.619502,1499628800
2007-08-01,23.559999,25.799999,22.090000,25.750000,15.937860,1533784300
2007-09-01,25.820000,26.430000,24.600000,25.860001,16.080729,1186023200
2007-10-01,26.040001,26.980000,25.160000,26.900000,16.727436,1566472800
2007-11-01,26.700001,27.540001,24.320000,26.080000,16.217527,1368224000
2007-12-01,26.030001,27.990000,25.379999,26.660000,16.648388,943306700
2008-01-01,26.280001,26.340000,18.049999,21.100000,13.176333,2466431600
2008-02-01,21.400000,21.820000,19.500000,19.969999,12.470680,1461654100
2008-03-01,20.059999,22.450001,19.440001,21.180000,13.306631,1355904700
2008-04-01,21.510000,23.020000,20.500000,22.260000,13.985159,1281765800
2008-05-01,22.360001,25.290001,22.360001,23.180000,14.563160,1143725900
2008-06-01,23.049999,24.000000,21.219999,21.480000,13.575715,1135974600
2008-07-01,21.290001,22.620001,19.709999,22.190001,14.024445,1379893000
2008-08-01,22.420000,24.750000,21.980000,22.870001,14.454211,1085887300
2008-09-01,23.270000,23.480000,17.270000,18.730000,11.911717,1623820500
2008-10-01,18.500000,18.690001,13.370000,16.030001,10.194601,2340996600
2008-11-01,16.129999,16.389999,12.060000,13.800000,8.776389,1534106100
2008-12-01,13.460000,15.680000,12.380000,14.660000,9.404291,1330676100
2009-01-01,14.690000,15.510000,12.500000,12.900000,8.275261,1272188700
2009-02-01,12.820000,15.150000,12.050000,12.740000,8.172626,1328263700
2009-03-01,12.510000,15.890000,12.070000,15.030000,9.740969,1633445000
2009-04-01,14.770000,16.389999,14.620000,15.780000,10.227047,1505340900
2009-05-01,15.760000,16.740000,15.000000,15.720000,10.188162,1338935300
2009-06-01,16.030001,16.700001,15.610000,16.549999,10.816983,1304048600
2009-07-01,16.670000,19.799999,15.780000,19.250000,12.581690,1726189600
2009-08-01,19.480000,20.650000,18.410000,20.320000,13.281032,1109221900
2009-09-01,20.219999,20.580000,19.219999,19.570000,12.884202,1065272900
2009-10-01,19.490000,21.270000,18.740000,19.110001,12.581354,1704082000
2009-11-01,19.049999,20.500000,18.309999,19.200001,12.640606,1184437600
2009-12-01,19.459999,20.719999,19.000000,20.400000,13.533053,1038055000
2010-01-01,20.790001,21.549999,19.299999,19.400000,12.869669,1509082400
2010-02-01,19.469999,20.969999,18.950001,20.530001,13.619296,1125494400
2010-03-01,20.680000,22.750000,20.260000,22.290001,14.905146,1290896200
2010-04-01,22.400000,24.370001,22.160000,22.840000,15.272919,1550379100
2010-05-01,22.980000,23.440001,19.900000,21.420000,14.323378,1830571300
2010-06-01,21.299999,22.000000,19.400000,19.450001,13.097785,1364086200
2010-07-01,19.430000,22.280001,18.959999,20.600000,13.872199,1607900800
2010-08-01,20.900000,21.280001,17.600000,17.670000,11.899115,1741791400
2010-09-01,17.940001,19.620001,17.750000,19.200001,13.028060,1347521700
2010-10-01,19.469999,20.559999,18.770000,20.049999,13.604828,1399157800
2010-11-01,20.350000,21.809999,20.219999,21.160000,14.358010,1126956500
2010-12-01,21.459999,22.070000,20.650000,21.030001,14.381518,920821000
2011-01-01,21.010000,21.940001,20.270000,21.459999,14.675572,1449438700
2011-02-01,21.490000,22.209999,21.010000,21.469999,14.682414,1002697600
2011-03-01,21.610001,22.080000,19.709999,20.180000,13.917073,1330377500
2011-04-01,20.379999,23.190001,19.360001,23.150000,15.965328,1446913800
2011-05-01,23.020000,23.959999,22.110001,22.510000,15.523958,1583498800
2011-06-01,22.450001,22.480000,21.000000,22.160000,15.402585,1183643100
2011-07-01,22.209999,23.389999,22.080000,22.330000,15.520743,945313300
2011-08-01,22.570000,22.690001,19.160000,20.129999,13.991607,1552667100
2011-09-01,20.280001,22.980000,19.160000,21.340000,14.977446,1336431600
2011-10-01,21.180000,25.200001,20.400000,24.540001,17.223356,1523540600
2011-11-01,24.110001,25.500000,22.510000,24.910000,17.483042,1137108100
2011-12-01,24.870001,25.780001,23.049999,24.250000,17.171015,987696800
2012-01-01,24.620001,27.000000,24.389999,26.420000,18.707558,1119898300
2012-02-01,26.740000,27.500000,26.350000,26.879999,19.033276,782982800
2012-03-01,27.059999,28.450001,26.200001,28.120001,20.070406,726544100
2012-04-01,28.040001,28.780001,27.240000,28.400000,20.270256,747858300
2012-05-01,28.469999,29.270000,24.920000,25.840000,18.443071,872560200
2012-06-01,25.400000,27.750000,24.840000,26.650000,19.159088,789493000
2012-07-01,26.510000,26.860001,24.680000,25.700001,18.476118,767755500
2012-08-01,25.830000,26.900000,24.150000,24.830000,17.850662,753682300
2012-09-01,25.030001,25.100000,22.480000,22.660000,16.433325,933236400
2012-10-01,22.750000,23.170000,21.219999,21.629999,15.686354,1116041800
2012-11-01,21.760000,22.540001,19.230000,19.570000,14.192417,1158066100
2012-12-01,19.879999,21.309999,19.500000,20.620001,15.107979,805637100
2013-01-01,21.150000,23.059999,20.879999,21.040001,15.415714,1220335600
2013-02-01,21.190001,21.379999,20.100000,20.879999,15.298479,702460600
2013-03-01,20.790001,22.040001,20.660000,21.840000,16.173843,755792900
2013-04-01,21.670000,24.000000,20.750000,23.950001,17.736423,1251872500
2013-05-01,23.820000,24.709999,23.580000,24.280001,17.980803,740062700
2013-06-01,24.879999,25.980000,23.410000,24.230000,18.112816,870588100
2013-07-01,24.350000,24.430000,22.629999,23.340000,17.447500,1016381600
2013-08-01,23.410000,23.490000,21.889999,21.980000,16.430857,648993400
2013-09-01,22.209999,24.090000,21.969999,22.920000,17.301186,645551600
2013-10-01,22.940001,24.730000,22.480000,24.469999,18.471203,797993300
2013-11-01,24.510000,25.290001,23.500000,23.840000,17.995647,591599400
2013-12-01,24.000000,26.040001,23.400000,25.959999,19.779383,614535900
2014-01-01,25.780001,27.120001,24.400000,24.540001,18.697449,834053300
2014-02-01,24.500000,24.980000,23.500000,24.760000,18.865078,510845400
2014-03-01,24.549999,26.059999,24.299999,25.809999,19.852613,587134100
2014-04-01,25.799999,27.240000,25.639999,26.690001,20.529493,735615600
2014-05-01,26.510000,27.320000,25.740000,27.320000,21.014080,491940100
2014-06-01,27.309999,31.000000,27.120001,30.900000,23.971983,761349300
