Date,Open,High,Low,Close,Adj Close,Volume
1993-03-01,0.473214,0.515625,0.448661,0.459821,0.377748,3661526400
1993-04-01,0.457589,0.468750,0.417411,0.457589,0.375914,3914411200
1993-05-01,0.457589,0.527902,0.455357,0.505580,0.415339,3200545600
1993-06-01,0.504464,0.520089,0.343750,0.352679,0.290335,7674396800
1993-07-01,0.348214,0.354911,0.227679,0.247768,0.203969,7142912000
1993-08-01,0.252232,0.274554,0.231027,0.236607,0.194781,3683164800
1993-09-01,0.236607,0.241071,0.205357,0.208705,0.172568,3668022400
1993-10-01,0.203125,0.287946,0.196429,0.274554,0.227015,5905323200
1993-11-01,0.274554,0.312500,0.265625,0.281250,0.232552,3452108800
1993-12-01,0.285714,0.290179,0.236607,0.261161,0.216717,3956971200
1994-01-01,0.263393,0.314732,0.256696,0.292411,0.242649,7332035200
1994-02-01,0.294643,0.341518,0.287946,0.325893,0.270433,4284459200
1994-03-01,0.328125,0.343750,0.281250,0.296875,0.247239,5257985600
1994-04-01,0.287946,0.305804,0.241071,0.267857,0.223072,4042136000
1994-05-01,0.267857,0.301339,0.254464,0.261161,0.217496,3361657600
1994-06-01,0.254464,0.255580,0.219866,0.236607,0.197825,4671788800
1994-07-01,0.235491,0.303571,0.226563,0.300781,0.251481,4848065600
1994-08-01,0.300223,0.333705,0.286830,0.323103,0.270144,4574897600
1994-09-01,0.315848,0.332589,0.297991,0.300781,0.252352,3232644800
1994-10-01,0.300223,0.390625,0.290179,0.385603,0.323516,7713484800
1994-11-01,0.382813,0.388253,0.324777,0.332589,0.279038,4048945600
1994-12-01,0.330357,0.356027,0.310268,0.348214,0.293026,3787795200
1995-01-01,0.347098,0.429129,0.338170,0.360491,0.303357,8162100800
1995-02-01,0.363839,0.397321,0.339286,0.352679,0.296783,5299347200
1995-03-01,0.354911,0.363839,0.302455,0.314732,0.265579,6997144000
1995-04-01,0.316964,0.353795,0.300223,0.341518,0.288182,5674300800
1995-05-01,0.341518,0.396205,0.334821,0.371094,0.313138,6384672000
1995-06-01,0.373884,0.447545,0.370536,0.414621,0.350838,5521947200
1995-07-01,0.415179,0.445313,0.383929,0.401786,0.339977,5699579200
1995-08-01,0.400670,0.412946,0.373884,0.383929,0.324867,5292918400
1995-09-01,0.383929,0.406250,0.310268,0.332589,0.282194,7311483200
1995-10-01,0.337054,0.353237,0.300223,0.324219,0.275092,6498508800
1995-11-01,0.327009,0.379464,0.316964,0.340402,0.288823,4864294400
1995-12-01,0.339286,0.358259,0.282366,0.284598,0.242226,6560243200
1996-01-01,0.287946,0.316964,0.239816,0.246652,0.209930,10300214400
1996-02-01,0.245536,0.270089,0.243304,0.245536,0.208980,4652099200
1996-03-01,0.246652,0.246652,0.205357,0.219308,0.186657,3346750400
1996-04-01,0.224330,0.236607,0.212054,0.217634,0.185232,2867076800
1996-05-01,0.217634,0.257813,0.209821,0.233259,0.198531,3603902400
1996-06-01,0.231027,0.232143,0.175223,0.187500,0.159585,4673939200
1996-07-01,0.188616,0.203125,0.142857,0.196429,0.167184,4803489600
1996-08-01,0.196429,0.223214,0.185268,0.216518,0.184282,3187374400
1996-09-01,0.215402,0.219866,0.180804,0.198103,0.168609,3213548800
1996-10-01,0.196429,0.247768,0.196429,0.205357,0.174783,5816977600
1996-11-01,0.208705,0.235491,0.206473,0.215402,0.183333,2581364800
1996-12-01,0.215402,0.227679,0.185268,0.186384,0.158635,4147483200
1997-01-01,0.188616,0.198661,0.147321,0.148438,0.126338,9072739200
1997-02-01,0.150670,0.159598,0.135045,0.145089,0.123488,4574169600
